idx,action,cvg
1,drink water,"One hand lifts a cup in a smooth arc to the lips — the object tilts toward the mouth and the elbow rises, distinguishing it from eating where the hand dips repeatedly."
2,eat meal,"Hand dips repeatedly toward a surface then rises to the open mouth in a loop — the cyclic dip-and-rise rhythm and jaw movement distinguish it from drinking where the cup simply tilts once."
3,brush teeth,"A narrow object moves rapidly side to side inside the parted lips — the fast lateral wrist oscillation at mouth level distinguishes it from eating or drinking where the object does not stay inside the mouth."
4,brush hair,"A wide flat object glides slowly downward from the crown through the full hair length — the long downward stroke from overhead distinguishes it from brushing teeth where the motion is lateral and stays at face level."
5,drop,"Fingers spread open at waist level and the object falls freely downward — the passive release and gravity-driven descent distinguish it from throwing where the arm swings forward forcefully."
6,pickup,"Both knees bend deeply and one hand descends all the way to floor level to grasp — the full squat with hand touching the ground distinguishes it from wearing a shoe where the foot is raised toward the hand."
7,throw,"Arm cocks behind the shoulder then whips forward releasing the object at head height — the explosive arm swing and object release distinguish it from pointing where the arm extends slowly and nothing leaves the hand."
8,sit down,"Hips descend slowly toward a seat with knees bending forward and arms reaching back — the backward weight shift and controlled lowering distinguish it from falling where the descent is sudden and uncontrolled."
9,stand up,"Torso leans forward then both legs straighten pushing the body fully upright from a seated position — the deliberate forward lean before rising distinguishes it from jumping where both feet leave the ground."
10,clapping,"Both palms swing inward from the sides and meet at chest level repeatedly — the symmetric lateral swing of both arms distinguishes it from rubbing hands where the palms press together and slide without separating."
11,reading,"Both hands hold a flat rectangular object completely still at face height with no finger movement — the total stillness of both hands distinguishes it from writing where one hand moves continuously across a surface."
12,writing,"One hand moves in small deliberate loops across a flat surface at desk level while the torso leans forward — the continuous single-hand motion on a surface distinguishes it from typing where all fingers tap and both forearms rest flat."
13,tear paper,"Both hands grip opposite edges of a flat sheet close together then pull sharply outward — the two-handed symmetric outward rip distinguishes it from reading where the object is held still."
14,wear jacket,"Both arms reach behind the back one at a time to thread through dangling sleeves — the arms moving backward and upward through fabric distinguishes it from taking off a jacket where the shoulders roll forward."
15,take off jacket,"Both shoulders roll forward and arms peel downward free of sleeves — the forward shoulder roll and downward arm pull distinguish it from wearing a jacket where arms thread backward through sleeves."
16,wear shoe,"Body bends deeply forward with both hands pressing a shoe onto a raised foot — the hands pushing the shoe onto the foot distinguish it from taking off a shoe where the hands grip the heel and pull backward."
17,take off shoe,"Both hands grip the heel of a shoe on a raised foot and yank it off backward — the heel grip and backward pull distinguish it from wearing a shoe where the hands press the shoe forward onto the toes."
18,wear glasses,"Both hands lift a thin frame from in front of the face and slide it onto the nose bridge and ears — the frame moving toward the face and settling on the nose distinguishes it from removing glasses where the frame moves away."
19,take off glasses,"Both hands grip the temple arms of glasses at eye level and slide the frame forward off the face — the outward sliding motion away from the face distinguishes it from wearing glasses where the frame moves inward."
20,put on hat,"Both hands hold a rounded object directly above the crown and lower it straight down onto the head — the downward pressing onto the top of the head distinguishes it from putting on glasses where the object settles at eye level."
21,take off hat,"Both hands grip the brim of an object sitting on the crown and lift it straight upward — the upward lift from the crown distinguishes it from taking off glasses where the hands move outward from the face."
22,cheer up,"Both arms sweep wide outward from the hips and rise fully above the head with open palms — the full bilateral overhead extension distinguishes it from clapping where arms stay at chest level and meet at center."
23,hand waving,"One arm raises to shoulder height and the hand swings left and right repeatedly with the elbow fixed — the single raised arm and lateral oscillation distinguish it from clapping where both arms move inward to meet."
24,kicking something,"One leg draws back then swings forward low to strike an object near the floor — the low forward leg strike toward an object on the ground distinguishes it from kicking a person where the foot drives at hip height."
25,reach into pocket,"One hand lowers from the side and slides into a hip pocket with fingers pointing downward — the hand disappearing into clothing at hip level distinguishes it from touching another person's pocket where the hand moves laterally toward someone else."
26,hopping,"One foot springs off the ground repeatedly while the other knee stays raised — the single-foot repeated bounce with one knee up distinguishes it from jumping where both feet leave the ground simultaneously."
27,jump up,"Both feet leave the ground together lifting the entire body straight upward — the simultaneous two-foot takeoff distinguishes it from hopping where only one foot pushes off."
28,phone call,"One hand lifts a flat rectangular object and presses it flat against the side of the head at ear level — the object held stationary against the ear distinguishes it from playing with a phone where both thumbs tap the screen."
29,play phone,"Both hands hold a flat screen at chest level while thumbs tap repeatedly across its surface — the two-handed grip with active thumb movement distinguishes it from a phone call where the device is held still against the ear."
30,typing keyboard,"All ten fingers spread flat and tap rapidly across a wide horizontal surface at desk height with both forearms resting — the two-handed all-finger tapping on a flat surface distinguishes it from writing where only one hand moves in loops."
31,point finger,"One arm extends fully forward at shoulder height with only the index finger extended toward a distant target — the single extended finger and fully straightened arm distinguish it from throwing where the arm swings and releases an object."
32,selfie,"Both arms extend forward holding a flat screen angled back toward the person's own face — the screen facing the user at arm's length distinguishes it from a phone call where the device is held against the ear."
33,check watch,"One arm bends and the inner wrist rotates upward to face level — the inward wrist rotation of a single bent arm distinguishes it from a phone call where an object is pressed against the ear."
34,rub hands,"Both flat palms press together and slide rapidly back and forth at waist level — the continuous sliding friction between the palms distinguishes it from clapping where the hands separate and swing inward to meet repeatedly."
35,nod head,"Head and upper torso bow forward together slowly toward the ground then return upright — the full upper body forward tilt distinguishes it from shaking the head where only the head rotates left and right with no torso movement."
36,shake head,"The head pivots sharply left then right in quick succession while the shoulders remain completely still — the pure horizontal neck rotation with no body movement distinguishes it from nodding where the whole torso bows forward."
37,wipe face,"One open palm rises to the forehead and drags slowly downward across the full face surface — the slow full-face downward sweep of an open palm distinguishes it from touching the forehead where the hand presses and holds still."
38,salute,"One flat hand presses against the temple with the elbow held out at shoulder level — the rigid flat hand at the temple with elbow extended outward distinguishes it from waving where the hand swings side to side."
39,palms together,"Both palms press flat and hold completely still together in front of the chest — the total stillness of both pressed hands distinguishes it from rubbing hands where the palms slide back and forth."
40,cross hands,"Both arms push straight forward with open palms facing outward at chest height — the forward push with outward-facing palms distinguishes it from clapping where the palms face each other and swing inward."
41,sneeze,"The torso lurches sharply forward and one hand swings up to cover the mouth suddenly — the involuntary forward torso jerk with hand to mouth distinguishes it from bowing where the movement is slow and controlled."
42,staggering,"The body lurches sideways left then right alternately while moving slowly forward in an unsteady path — the lateral weight-shifting with erratic balance distinguishes it from falling where the body tips past vertical and drops rapidly."
43,falling,"The body tips past vertical and collapses rapidly sideways toward the ground — the uncontrolled rapid lateral collapse distinguishes it from staggering where the body wobbles but stays upright."
44,headache,"One hand presses the heel firmly into the center of the forehead with the head bowing slightly — the heel of the hand pressing the forehead distinguishes it from wiping the face where the open palm sweeps downward."
45,chest pain,"One open palm presses flat and holds still against the left side of the chest — the hand pressing and holding on the chest distinguishes it from stomach pain where both hands press the abdomen."
46,back pain,"One arm swings behind the torso and presses the hand into the lower back with the torso twisted — the single arm reaching behind to the lower back distinguishes it from patting someone's back where the arm reaches toward another person."
47,neck pain,"One hand cups over the side of the neck as the head tilts toward the shoulder — the head tilt toward the cupping hand at the neck distinguishes it from headache where the hand presses the forehead."
48,nausea,"The body doubles forward deeply at the waist with both hands clutching the abdomen and the head down near the knees — the deep forward doubled posture with both hands on the stomach distinguishes it from chest pain where the body stays upright."
49,fan self,"One hand swings a flat object in short rapid arcs directly in front of the face — the repetitive fanning arc in front of the face distinguishes it from wiping the face where a single slow sweep crosses the face."
50,punch,"One closed fist draws back then drives forward rapidly at face height toward another person — the closed fist and explosive forward drive distinguish it from pointing where the finger extends slowly with no impact."
51,kicking person,"One leg raises to hip height then drives the foot directly forward into another person — the high leg raise and forward foot drive at hip level distinguish it from kicking an object where the foot swings low near the floor."
52,pushing,"Both open palms press firmly against another person's chest and drive them backward — the two-handed forward thrust against another person distinguishes it from crossing hands where the palms face outward with no contact."
53,pat back,"One arm reaches behind or across to another person's upper back and taps it repeatedly with an open hand — the gentle repeated open-hand tapping on another person's back distinguishes it from hugging where both arms wrap fully around the person."
54,point person,"One arm extends at chest height with the index finger pointing directly at another person standing nearby — the finger directed at a nearby person distinguishes it from pointing at an object where the arm extends toward a distant target."
55,hugging,"Both arms wrap tightly around another person's back pulling them against the chest — the full bilateral arm wrap around another person distinguishes it from patting the back where only one arm reaches and taps."
56,give object,"One arm extends forward with an object resting in an open palm offered toward another person — the open palm with an object extended toward a person distinguishes it from pointing where the finger extends with nothing in the hand."
57,touch pocket,"One hand reaches toward the front hip pocket of another person at waist level — the hand moving toward another person's clothing at hip level distinguishes it from reaching into one's own pocket where the hand moves into one's own clothing."
58,handshake,"One arm extends and grips another person's hand then pumps firmly up and down — the mutual hand grip with vertical pumping distinguishes it from giving an object where the hand opens and releases."
59,walk towards,"Two people stride directly toward each other face-on with arms swinging and the gap between them closing — the decreasing distance between two facing people distinguishes it from walking apart where the gap widens."
60,walk apart,"Two people stride away from each other back-to-back with arms swinging and the gap between them widening — the increasing distance between two people with backs turned distinguishes it from walking toward each other where the gap closes."
