idx,kd
1,One arm rises smoothly to the mouth in a single arc then lowers back down.
2,One arm cycles repeatedly from low at the waist up to the open mouth.
3,One hand moves rapidly side to side at mouth level with short quick strokes.
4,One arm raises high above the head and strokes slowly downward to the shoulder.
5,One arm at the side with fingers opening and hand dropping below the waist.
6,Knees deeply bent and one arm extends all the way down to floor level.
7,One arm swings from behind the shoulder forward releasing at head height.
8,Hips descend slowly as both knees bend forward toward a seated position.
9,Both legs push the body upward from a low seated position to fully upright.
10,Both arms swing inward and hands meet at chest level in a steady rhythm.
11,Both arms raised to face height held completely still with no hand movement.
12,One arm rests flat and the hand traces small repeated strokes across a surface.
13,Both arms start close at chest then pull sharply sideways in opposite directions.
14,One arm reaches behind the back and threads through a rear opening to the side.
15,Both shoulders round forward as arms pull free downward one after the other.
16,Body bends far forward as both arms work down around a raised foot.
17,Both hands grip a raised foot and pull sharply backward to free the foot.
18,Both arms rise and fingertips carefully place a small object at eye level.
19,Both arms raise to eye level and fingertips draw a small object away from the face.
20,Both arms raise above the head and press downward firmly onto the crown.
21,Both arms raise to the crown and lift straight upward away from the head.
22,Both arms sweep wide outward from the sides and rise above the head fully.
23,One arm raised at shoulder level swings left and right in a steady rhythm.
24,One leg swings low forward at ground level toward a target ahead.
25,One arm lowers along the side and the hand slides downward at hip level.
26,One foot springs repeatedly off the ground while the other stays raised.
27,Both feet push off simultaneously and the whole body rises straight upward.
28,One arm raises and presses the flat hand firmly against the side of the head.
29,Both arms held still at chest level while both thumbs tap repeatedly.
30,Both forearms rest flat and all spread fingers tap rapidly at desk height.
31,One arm extends fully forward at shoulder height with only one finger pointing.
32,Both arms extend forward at shoulder height angled back toward the face.
33,One arm bends and rotates the wrist inward until it faces upward at eye level.
34,Both palms pressed flat together slide rapidly back and forth at waist level.
35,The head and chest bow forward together toward the ground with a slow arc.
36,Head pivots left then right sharply with the shoulders and body completely still.
37,One open palm raises and drags slowly across the full surface of the face.
38,One arm raises and the flat hand presses firmly against the temple and holds.
39,Both arms move inward and press the palms flat together at chest height and hold.
40,Both arms push fully forward with open palms facing outward at chest height.
41,Torso jerks sharply forward and one arm swings rapidly up to cover the mouth.
42,Body lurches sideways left then right alternately while moving slowly forward.
43,Body tips past vertical and collapses sideways rapidly toward the ground.
44,One hand presses the heel firmly into the center of the forehead and holds.
45,One open palm presses flat and firmly against the left side of the chest.
46,One arm reaches behind the torso and presses the hand into the lower back.
47,One hand cups over the side of the neck as the head tilts toward the shoulder.
48,Body doubles forward at the waist with both hands clutching the abdomen.
49,One arm bent at the elbow swings the hand back and forth in short rapid arcs.
50,One arm draws back then drives a closed fist forward rapidly at head height.
51,One leg raises to hip height and drives forward directly toward another person.
52,Both arms extend fully forward with open palms pressing steadily against another.
53,One arm reaches across to another person's back and taps the upper area.
54,One arm extends at chest height with the index finger pointing at a person.
55,Both arms wrap tightly around another person's back pulling them close.
56,One arm extends forward with the open palm facing upward toward another person.
57,One arm reaches sideways toward another person's hip at waist level.
58,One arm extends forward gripping another person's hand pumping up and down.
59,Two bodies stride face-on toward each other with arms swinging closing the gap.
60,Two bodies stride back-to-back away from each other widening the gap between them.
