idx,tt
1,One arm rises in a smooth arc from the side up to the mouth and lowers back.
2,One arm dips toward the waist then rises to the mouth repeatedly in a loop.
3,One arm raises to mouth level and the hand moves rapidly left and right.
4,One arm lifts high above the head and the hand glides slowly downward.
5,One arm extends downward and the fingers open releasing at waist level.
6,Body bends at the knees as one arm extends fully downward to the floor.
7,One arm draws back behind the shoulder then swings forward and releases.
8,Body lowers as the knees bend and the hips descend steadily toward seat level.
9,Torso leans forward then both legs straighten pushing the body fully upright.
10,Both arms swing inward from the sides and hands meet at chest level repeatedly.
11,Both arms raise to face level and hold completely still throughout.
12,One arm rests on a surface and the hand moves in small repeated strokes.
13,Both arms start close together at chest level then pull sharply outward sideways.
14,One arm reaches behind the back then threads backward through an opening.
15,Both shoulders roll forward as each arm pulls downward and free in sequence.
16,Body bends deeply forward as both arms lower toward a raised foot.
17,Both arms lower to a raised foot and pull backward to free the foot.
18,Both arms rise and fingertips guide a small object onto the face at eye level.
19,Both arms rise to eye level and fingertips pull a small object outward from the face.
20,Both arms raise high overhead and press an object downward onto the crown.
21,Both arms raise to the crown of the head and lift upward away from the head.
22,Both arms sweep wide from the hips outward and rise high above the head.
23,One arm raises to shoulder level and the hand swings repeatedly left and right.
24,One leg draws back low then swings forward low toward the ground level.
25,One arm lowers along the hip and the hand slides downward at hip level.
26,One foot springs off the ground repeatedly with the other foot staying raised.
27,Both feet push off together and the whole body rises straight into the air.
28,One arm rises and the hand presses flat against the side of the head.
29,Both arms stay bent at chest level while both thumbs move repeatedly.
30,Both forearms rest flat and all fingers tap rapidly across a wide surface.
31,One arm raises to shoulder height and extends fully forward with one finger out.
32,Both arms extend forward at shoulder height angled slightly inward toward the face.
33,One arm bends and rotates until the inner wrist faces upward at eye level.
34,Both palms press together at waist level and slide rapidly back and forth.
35,The head and upper torso tip forward together toward the ground then rise up.
36,Head turns sharply left then right repeatedly with shoulders completely still.
37,One arm raises and the open palm drags slowly across the face from side to side.
38,One arm raises and a flat hand presses against the side of the forehead.
39,Both arms move inward and the palms press flat together and hold still.
40,Both arms extend forward together until the palms face outward at chest height.
41,Torso lurches sharply forward while one arm swings upward to the mouth.
42,Body tilts left then right alternately while shuffling slowly forward.
43,Body tilts past the tipping point and drops sideways rapidly toward the ground.
44,One arm raises and the hand presses the heel firmly into the center of the forehead.
45,One arm raises and the open palm presses flat against the left side of the chest.
46,One arm swings behind the torso and presses into the lower back area.
47,One arm raises and the hand cups over the side of the neck as the head tilts.
48,Body bends deeply forward at the waist as both hands press against the abdomen.
49,One arm bends at the elbow and the hand swings back and forth in short arcs.
50,One arm draws back then drives the fist forward rapidly at chest or head height.
51,One leg raises to hip level then drives the foot forward toward another person.
52,Body leans forward as both arms extend and open palms press steadily forward.
53,One arm reaches across to another person's upper back and taps repeatedly.
54,One arm extends at chest height and points the index finger directly at a person.
55,Both arms open wide then wrap tightly around another person's back.
56,One arm extends forward and the open palm faces upward toward another person.
57,One arm moves sideways toward another person's hip and contacts at waist level.
58,One arm extends forward and the hand grips another person's hand pumping up and down.
59,Two bodies stride forward facing each other with regular arm swings closing the gap.
60,Two bodies stride forward back-to-back with regular arm swings widening the gap.
